,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.429,0.9999999999875995,404.81512499999997,-202.4075625
0.43,0.9999999999876256,405.81249999999994,-202.90625
0.431,0.9999999999876518,406.8101250000001,-203.40506250000004
0.432,0.9999999999876781,407.80799999999994,-203.90399999999997
0.433,0.9999999999877042,408.806125,-204.4030625
0.434,0.9999999999877304,409.8045000000001,-204.90224999999992
0.435,0.9999999999877567,410.8031249999999,-205.4015625
0.436,0.9999999999877828,411.802,-205.90100000000007
0.437,0.9999999999878092,412.80112499999996,-206.40056250000004
0.438,0.9999999999878352,413.80050000000006,-206.90025000000003
0.439,0.9999999999878618,414.800125,-207.4000625
0.44,0.9999999999878878,415.79999999999984,-207.89999999999995
0.441,0.9999999999879141,416.80012500000004,-208.40006250000002
0.442,0.9999999999879404,417.80049999999994,-208.90025000000003
0.443,0.9999999999879667,418.80112499999984,-209.40056249999992
0.444,0.999999999987993,419.8020000000001,-209.90100000000004
0.445,0.9999999999880193,420.8031250000001,-210.40156250000004
0.446,0.9999999999880456,421.8045000000001,-210.90225000000007
0.447,0.9999999999880718,422.80612499999995,-211.40306249999995
0.448,0.9999999999880981,423.8080000000001,-211.90400000000005
0.449,0.9999999999881245,424.81012499999997,-212.40506250000004
0.45,0.9999999999881508,425.8124999999999,-212.90624999999994
0.451,0.999999999988177,426.8151250000001,-213.40756250000004
0.452,0.9999999999882033,427.81799999999987,-213.90899999999993
0.453,0.9999999999882297,428.82112499999994,-214.41056249999997
0.454,0.9999999999882561,429.82450000000006,-214.91225
0.455,0.9999999999882823,430.8281249999999,-215.41406249999994
0.456,0.9999999999883087,431.8320000000001,-215.91600000000003
0.457,0.9999999999883352,432.836125,-216.4180625
0.458,0.9999999999883614,433.84049999999996,-216.9202499999999
0.459,0.999999999988388,434.845125,-217.4225625
0.46,0.999999999988414,435.85000000000014,-217.92500000000004
0.461,0.9999999999884407,436.85512500000004,-218.42756250000002
0.462,0.9999999999884669,437.8605,-218.93025
0.463,0.9999999999884934,438.86612499999995,-219.43306249999995
0.464,0.99999999998852,439.8719999999999,-219.93599999999995
0.465,0.9999999999885463,440.87812499999995,-220.43906250000003
0.466,0.9999999999885726,441.88449999999995,-220.94225
0.467,0.999999999988599,442.89112500000005,-221.44556250000002
0.468,0.9999999999886254,443.8979999999999,-221.94900000000007
0.469,0.999999999988652,444.90512500000006,-222.45256250000003
0.47,0.9999999999886785,445.9125,-222.95625
0.471,0.9999999999887049,446.920125,-223.46006249999996
0.472,0.9999999999887313,447.928,-223.964
0.473,0.9999999999887578,448.93612499999995,-224.4680625
0.474,0.9999999999887845,449.94449999999995,-224.97225000000003
0.475,0.9999999999888106,450.9531250000001,-225.47656249999997
0.476,0.9999999999888372,451.962,-225.981
0.477,0.9999999999888638,452.9711249999999,-226.48556249999996
0.478,0.9999999999888901,453.98050000000006,-226.99025000000003
0.479,0.9999999999889168,454.99012500000003,-227.49506250000002
0.48,0.9999999999889433,456.0,-228.00000000000006
0.481,0.999999999988969,456.9834027777778,-228.49170138888888
0.482,0.9999999999889951,457.96694444444444,-228.98347222222222
0.483,0.9999999999890208,458.95062499999995,-229.47531249999997
0.484,0.9999999999890467,459.93444444444447,-229.96722222222223
0.485,0.9999999999890725,460.9184027777778,-230.45920138888886
0.486,0.9999999999890982,461.9025000000001,-230.95125000000002
0.487,0.9999999999891241,462.88673611111096,-231.44336805555554
0.488,0.99999999998915,463.8711111111111,-231.93555555555554
0.489,0.9999999999891758,464.85562500000003,-232.42781250000004
0.49,0.9999999999892017,465.84027777777766,-232.92013888888886
0.491,0.9999999999892276,466.82506944444447,-233.41253472222223
0.492,0.9999999999892534,467.81000000000006,-233.905
0.493,0.9999999999892794,468.79506944444444,-234.39753472222222
0.494,0.9999999999893051,469.78027777777777,-234.8901388888889
0.495,0.9999999999893311,470.765625,-235.3828125
0.496,0.9999999999893567,471.75111111111113,-235.87555555555554
0.497,0.9999999999893826,472.736736111111,-236.3683680555555
0.498,0.9999999999894086,473.72249999999985,-236.86124999999996
0.499,0.9999999999894345,474.7084027777778,-237.3542013888889
0.5,0.9999999999894604,475.69444444444434,-237.84722222222223
0.501,0.9999999999894861,476.6806250000001,-238.34031249999998
0.502,0.9999999999895123,477.6669444444444,-238.83347222222227
0.503,0.9999999999895381,478.6534027777777,-239.32670138888892
0.504,0.9999999999895638,479.64,-239.82000000000005
0.505,0.9999999999895899,480.6267361111111,-240.31336805555554
0.506,0.9999999999896158,481.61361111111114,-240.80680555555557
0.507,0.9999999999896416,482.6006249999999,-241.3003124999999
0.508,0.9999999999896677,483.5877777777778,-241.79388888888886
0.509,0.9999999999896935,484.57506944444435,-242.2875347222222
0.51,0.9999999999897196,485.56250000000006,-242.78125000000003
0.511,0.9999999999897454,486.5500694444446,-243.27503472222224
0.512,0.9999999999897713,487.5377777777778,-243.7688888888889
0.513,0.9999999999897973,488.52562500000005,-244.26281250000002
0.514,0.9999999999898231,489.5136111111112,-244.7568055555556
0.515,0.9999999999898492,490.5017361111111,-245.25086805555554
0.516,0.9999999999898751,491.4899999999999,-245.74499999999998
0.517,0.999999999989901,492.4784027777776,-246.23920138888883
0.518,0.9999999999899271,493.4669444444444,-246.7334722222222
0.519,0.9999999999899529,494.4556249999998,-247.22781249999997
0.52,0.9999999999899789,495.44444444444434,-247.72222222222217
0.521,0.999999999990005,496.43340277777776,-248.21670138888888
0.522,0.999999999990031,497.4224999999999,-248.71124999999992
0.523,0.9999999999900568,498.4117361111112,-249.20586805555558
0.524,0.9999999999900828,499.40111111111105,-249.70055555555558
0.525,0.9999999999901089,500.390625,-250.1953125
0.526,0.9999999999901348,501.38027777777774,-250.69013888888887
0.527,0.9999999999901608,502.3700694444444,-251.1850347222222
0.528,0.9999999999901867,503.36,-251.68
0.529,0.9999999999902126,504.35006944444444,-252.17503472222225
0.53,0.9999999999902387,505.3402777777777,-252.67013888888886
0.531,0.9999999999902646,506.3306249999999,-253.16531249999994
0.532,0.9999999999902907,507.321111111111,-253.66055555555556
0.533,0.9999999999903167,508.31173611111114,-254.15586805555563
