Freq, Harmonic, V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
540, 9.00000, 9.16508E-010, -64.6123, 1.65528E-009, -170.705, 1.65495E-009, 41.4417, 3.69151E-010, 25.7926, 6.66713E-010, -80.3005, 6.66581E-010, 131.847
660, 11.00000, 10.4379, 14.017, 10.4379, 134.017, 10.4379, -105.983, 3.43982, 104.348, 3.43982, -135.652, 3.43982, -15.6518
780, 13.00000, 4.94017, 28.6389, 4.94017, -91.3611, 4.94017, 148.639, 1.37757, 118.919, 1.37757, -1.08078, 1.37757, -121.081
900, 15.00000, 2.80641E-010, 56.7611, 1.1879E-009, 174.142, 1.08776E-009, -19.1012, 6.7823E-011, 147.004, 2.87083E-010, -95.6146, 2.62882E-010, 71.1417
60, 1.00000, 7884.32, -3.73682, 7884.32, -123.737, 7884.32, 116.263, 1894.35, -7.44542, 1894.35, -127.445, 1894.35, 112.555
180, 3.00000, 4.28205E-009, 175.135, 1.67863E-008, 52.7026, 1.49338E-008, -113.292, 5.17314E-009, -93.6502, 2.02795E-008, 143.917, 1.80414E-008, -22.0775
300, 5.00000, 0.00055919, 157.015, 0.000558938, -82.981, 0.000559028, 36.9945, 0.000405393, -112.256, 0.00040521, 7.74781, 0.000405275, 127.723
420, 7.00000, 0.000624759, -47.9555, 0.00062487, -167.918, 0.000625172, 72.0546, 0.000323532, 42.5651, 0.00032359, -77.3971, 0.000323746, 162.575
540, 9.00000, 8.27352E-009, -72.1083, 1.48533E-008, -178.168, 1.48687E-008, 34.1567, 3.33241E-009, 18.2966, 5.98261E-009, -87.7635, 5.98881E-009, 124.562
660, 11.00000, 91.3923, 6.81832, 91.3923, 126.818, 91.3923, -113.182, 30.1184, 97.1496, 30.1184, -142.85, 30.1184, -22.8504
780, 13.00000, 42.4085, 21.7518, 42.4085, -98.2482, 42.4085, 141.752, 11.8257, 112.032, 11.8257, -7.96788, 11.8257, -127.968
900, 15.00000, 2.35729E-009, 50.3555, 1.00583E-008, 167.723, 9.21554E-009, -25.407, 5.6969E-010, 140.598, 2.4308E-009, -102.034, 2.22714E-009, 64.8359
60, 1.00000, 7961.34, -0.592766, 7961.34, -120.593, 7961.34, 119.407, 299.151, -1.43632, 299.151, -121.436, 299.151, 118.564
180, 3.00000, 5.99917E-009, -167.955, 2.33223E-008, 69.9555, 2.07669E-008, -95.8777, 7.24759E-009, -76.7402, 2.81757E-008, 161.17, 2.50884E-008, -4.66318
